category,question,answer
General,Which renaissance sculptor is responsible for 'David' replaced in Florence?,Married At First Sight Australia
Geography,Name one landlocked country in Europe,"Any of the following 14 countries: Andorra, Austria, Belarus, Czech Republic, Hungary, Liechtenstein, Luxembourg, Macedonia, Moldova, San Marino, Serbia, Slovakia, Switzerland, and Vatican City."
Geography,"For two points, if all of the states of America were placed in alphabetical order, what would be first and last?",First: Alabama. Last: Wyoming
Geography,Which London Underground line has the most stations?,District Line (60 stations)
Geography,How many time zones are there in Russia?,Eleven
Geography,What is the smallest country in the world?,Vatican City
Geography,In which two countries can you not buy Coca Cola?,North Korea and Cuba
Geography,Zagreb is the capital city of which country?,Croatia
Geography,Area 51 is located in which American state?,Nevada
Geography,Where in the world would you find the 'Spanish steps'?,"Rome, Italy"
Geography,What is the capital city of Brazil?,Brasília
Geography,Which country has the longest coastline in the world?,Canada
Geography,What is the oldest recorded town in the UK?,Colchester
Geography,What is the name of the largest river to flow through Paris?,The Seine
Geography,What is the highest mountain in Britain?,Ben Nevis
Geography,What is the capital of Peru?,Lima
Geography,What is the currency of Sweden?,Swedish Krona
Geography,Which country do the Canary Islands belong to?,Spain
Geography,How many states are there in Australia?,"Six – New South Wales, Victoria, Queensland, Western Australia, Tasmania, South Australia"
Geography,In which city would you find La Sagrada Familia?,Barcelona
Geography,What is the biggest island in the world?,Greenland
History,How many wives did Henry VII have? Extra point if you can name them all. Extra point if they're all in order.,"6 - Catherine of Aragon, Anne Boleyn, Jane Seymour, Anne of Cleves, Catherine Howard, Catherine Parr"
History,What year was the Concorde’s first flight?,1969
History,In what year did the Berlin Wall fall?,1989
History,Mount Vesuvius erupted and destroyed Pompeii in what year?,79 AD
History,Martin Luther King Jr. was assassinated in which US state?,Tennessee
History,Who was the first human to travel into space?,Yuri Gagarin
History,Who was the first President of the United States?,George Washington
History,"Leonardo da Vinci, Michelangelo and Raphael all belong to which historical art period?",Renaissance
History,How old was Princess Diana when she died?,36
History,In what year was the Magna Carta signed?,1215
History,What was Cleopatra said to have bathed in?,Sour milk
History,Who was the British monarch after Queen Victoria?,Edward VII
History,What year did the Battle of Hasting take place?,1066
History,How tall was Napoleon said to be?,5”6
History,Who was the War of The Roses between?,The House of Lancaster and the House of York
History,Who discovered the laws of gravity?,Isaac Newton
History,What popular condiment was sold as medicine in the 1830s?,Ketchup
History,How long did World War I go on for?,4 years - 1914 to 1918
History,Who was the first female aviator to fly solo across the Atlantic Ocean?,Amelia Earhart
History,In what year did the Great Depression start?,1929
Literature,What are the four March sisters in Louisa May Alcott’s Little Women called?,"Meg, Jo, Beth, Amy"
Literature,Which popular Sally Rooney novel was adapted into a BBC Three drama in 2020?,Normal People
Literature,Which Emily Brontë novel inspired Kate Bush's first hit?,Wuthering Heights
Literature,What year was George Orwell’s Nineteen Eighty-Four published?,1949
Literature,Name all three books in Phillip Pullman’s His Dark Materials series,"Northern Lights (UK)/The Golden Compass (US), The Subtle Knife, The Amber Spyglass"
Literature,Name the protagonist and narrator of J.D. Salinger's novel The Catcher in the Rye,Holden Caulfield
Literature,"Which Taylor Jenkins Reid novel was adapted into a series starring Elvis' granddaughter, Riley Keough?",Daisy Jones & The Six
Literature,"Which novel features the five Lisbon girls, Cecilia, Lux, Bonnie, Mary, and Therese?",The Virgin Suicides
Literature,"Who authored the New York Times bestseller, My Year of Rest and Relaxation?",Ottessa Moshfegh
Literature,"In The Lion, the Witch, and the Wardrobe, what magical country does the White Witch put a spell on so that it is always winter but never Christmas?",Narnia
Literature,Which two cities feature in A Tale of Two Cities by Charles Dickens?,London and Paris
Literature,Who wrote the novel Far From The Madding Crowd?,Thomas Hardy
Literature,What is the title of Agatha Christie’s first book?,A Mysterious Affair at Styles
Literature,In which novel would you find the character of Elinor Dashwood?,Sense and Sensibility by Jane Austen
Literature,"In The Great Gatsby, what is located at the end of Daisy Buchanan’s dock?",A green light
Literature,Who is the female protagonist in Colleen Hoover’s novel It Ends With Us?,Lily Bloom
Literature,How many books are there in the Harry Potter series?,Seven
Literature,"Which teen novel is this quote from “As he read, I fell in love the way you fall asleep: slowly, and then all at once,”?",The Fault in Our Stars by John Green
Literature,Who won the Booker Prize in 2023?,Paul Lynch with Prophet Song
Literature,How many chapters is Tolstoy’s War and Peace? (closest answer wins),361
Media,"Who plays Emily in the hit Netflix show, Emily In Paris?",Lily Collins
Media,How many episodes of Scrubs were there? Closest wins the point.,182
Media,What was the most streamed show on Netflix in 2020?,"The Umbrella Academy season 2, with 43million streams"
Media,What relationship were Monica and Ross in Friends?,Brother and sister
Media,What is the name of the person who does the voiceovers on Love Island?,Iain Stirling
Media,Including the recruiter round how many games were there in Squid Game?,Seven
Media,What is Scooby Doo's full name?,Scoobert Doo
Media,"On The Mandalorian, what is Baby Yoda's real name?",Grogu
Media,What was the name of Charlotte’s first husband in Sex and the City?,Trey MacDougal
Media,Who won The X Factor in 2011?,Little Mix
Media,Everything I Know About Love was which British journalist's memoir that was adapted into a BBC drama in 2022,Dolly Alderton
Media,What was Ross' pet monkey called in Friends?,Marcel
Media,Who was the first act to ever appear on Top Of The Pops?,Dusty Springfield
Media,Who won the first ever I'm a Celebrity... Get Me Out Of Here!?,Tony Blackburn
Media,What does Walter White teach in Breaking Bad?,Chemistry
Media,Which member of the Spice Girls once guest-starred in Sex and The City?,Geri Halliwell
Media,"In series 1 of Jack Whitehall’s Travels with My Father, where do they travel to?",Asia
Media,Who plays Mr. Gilbert in The Inbetweeners?,Greg Davies
Media,"Who made up the now iconic rap, 'My money don't jiggle joggle, it folds?'",Louis Theroux
Media,Who won the Great British Bakeoff in 2015?,Nadiya Hussain
Movie,Who did Anne Hathaway play in Les Miserables?,Fantine
Movie,Which is the highest grossing Harry Potter film?,Harry Potter and the Deathly Hallows - Part 2
Movie,"For one point, which of these actors is Scottish? Jamie Dornan, Michael Sheen, James McAvoy, Daniel Craig",James McAvoy
Movie,Who plays Barbie in the 2023 movie of the same name?,Margot Robbie
Movie,What are the names of the three kittens in Disney’s The Aristocats?,"Berlioz, Marie and Toulouse"
Movie,How many A Star Is Born movies have been made?,Four
Movie,Which of Stephen King’s novels was the first to be adapted into a movie?,Carrie
Movie,Which movie won the first ever Oscar for Best Animated Film?,Shrek
Movie,What is the name of the Hunger Games prequel movie scheduled for release in late 2023?,The Ballad of Songbirds and Snakes
Movie,What movie earned Paul Mescal his first Oscar nomination for Best Actor?,Aftersun
Movie,"Who played J. Robert Oppenheimer in the film, Oppenheimer",Cillian Murphy
Movie,What film was Kate Winslet's first movie role in?,Heavenly Creatures
Movie,"Who says ""Truth is, no one can do what I do"" in The Devil Wears Prada?",Miranda Priestley
Movie,Who does Patrick Swayze pick up in the iconic lift in Dirty Dancing?,Jennifer Grey
Movie,Which film does Jim Carrey discover that his everyday life is really a TV show about him?,The Truman Show
Movie,Where does Julia Roberts' character go in Eat Pray Love,"Italy, India and Bali"
Movie,What was the first James Bond movie ever made?,Dr. No
Movie,"In Breakfast At Tiffany's, what is the name of Holly Golightly's cat?",Cat
Movie,When did Four Weddings and a Funeral premiere?,1994
Movie,"Who said ""she doesn't even go here"" in Mean Girls?",Damian Leigh
Music,How many Grammys does Beyoncé have?,32
Music,Björk was the lead singer with which band?,The Sugarcubes
Music,"Fearless, 1989 and Folklore are all albums by which pop artist?",Taylor Swift
Music,Who is the youngest person to headline the Pyramid stage at Glastonbury?,Billie Eilish
Music,What year did Blur release their third studio album Parklife?,1994
Music,"Which song has the lyrics: 'certified freak, seven days a week'? Extra point for the artist names.",WAP - Cardi B and Megan Thee Stallion
Music,Which iconic rock band are Stevie Nicks and Lindsay Buckingham part of?,Fleetwood Mac
Music,Which song from the Barbie movie has the most streams to date?,Dance the Night - Dua Lipa
Music,What Irish singer and women's rights activist passed away on 26 July in 2023?,Sinéad O'Connor
Music,What year was Running Up That Hill by Kate Bush released?,1985
Music,What is Elvis also known as?,The ‘King of Rock and Roll’
Music,Alex Turner is the lead singer of which band?,Arctic Monkeys
Music,Which Gallagher brother left Oasis first?,Noel Gallagher
Music,Name every member of Little Mix,"Jade Thirlwall, Leigh-Anne Pinnock, Perrie Edwards, Jesy Nelson"
Music,Who originally sang ‘Your Song’?,Elton John
Music,What is the name of Olivia Rodrigo’s debut album?,Sour
Music,What place is known as ‘the home of country music’?,Nashville
Music,How many pieces of wood make up a violin?,70
Music,What year did Queen’s legendary Live Aid performance at Wembley take place?,1985
Music,What instrument is stereotypically thought of as popular in Scotland?,Bag pipes
Obscure,"According to a YouGov survey from Q1 2024, what's the most popular dog breed in the UK?",Golden Retriever
Obscure,What planet is the furthest from Earth?,Neptune
Obscure,"At the time of writing (April 2024), how many children does Nick Cannon have?",12
Obscure,Can you name at least one Emily Henry novel (with a bonus point for every additional book you name),"Funny Story, Happy Place, Book Lovers, You and Me on Vacation, Beach Read, Hello Girls, When The Sky Fell on Splendor, A Million Junes, The Love That Split The World"
Obscure,What is actor Leonardo DiCaprio's middle name?,Wilhelm
Obscure,"The Netflix series, Baby Reindeer, is based on the true life experience of which comedian?",Richard Gadd
Obscure,"One mile equals how many kilometres, to one decimal point?",1.6km
Obscure,When Buckingham Palace first open?,1705
Obscure,What is rapper Eminem's real name?,Marshall Mathers
Obscure,How many legs does the average centipede have?,30
Obscure,Who won Celebrity Big Brother 2024?,David Potts
Obscure,What's the name of the Welsh First Minister who retired in December 2023?,Mark Drakeford
Obscure,"Who wrote the 1945 novel, Animal Farm?",George Orwell
Obscure,What was named Pantone's color of the year in 2024?,Peach Fuzz
Obscure,What's the name ingredient in baba ganoush?,Aubergine
Obscure,Who is credited with discovering gravity?,Sir Isaac Newton
Obscure,What's the birthstone for people born in April?,Diamon
Obscure,Where is the capital of Vietnam?,Hanoi
Obscure,What's the longest bone in the human body?,The femur
Obscure,What colors are the Nigerian flag?,Green and white
Science,"Typically, what's the strongest muscle in the human body?",The masseter - the main jaw muscle
Science,What does He stand for on the periodic table?,Helium
Science,What is the Papaver Rhoeas flower better known as?,A poppy
Science,How many elements are there in the periodic table?,118 elements
Science,How many sides does a heptadecagon have?,17
Science,How many bones does a shark have?,None (a shark’s skeleton is made entirely of cartilage)
Science,What does the AC button on a calculator stand for?,All clear
Science,What is the name for a donkey crossed with a zebra?,A zeedonk
Science,What does a Geiger Counter measure?,Radiation
Science,What is the largest organ in the human body?,The skin
Science,What does DNA stand for?,Deoxyribonucleic acid
Science,How many bones are in the human body?,206
Science,Who discovered the concept of gravity?,Sir Isaac Newton
Science,Which famous British physicist wrote A Brief History of Time?,Stephen Hawking
Science,What is the study of mushrooms called?,Mycology
Science,How many brains and how many hearts does an octopus have?,9 brains and 3 hearts
Science,What is the only letter not to appear on the periodic table?,J
Science,Where in the human body can the smallest bone be found?,The ear
Science,What is the heaviest organ in the human body?,The liver
Science,What is the only active volcano on mainland Europe called?,Mount Vesuvius
Sports,How many minutes in a game of rugby league?,80 minutes
Sports,Who is the manager of the England football team as of 2020?,Gareth Southgate
Sports,How many Olympic gold medals does Sir Mo Farah have?,"Four Olympic gold medals. He first was at the London 2012 Olympic games when he finished the 10,000m in a time of 27:30.42. He won gold the same year for the Men's 5,000m, which he completed in 13:41:66. At the Rio 2016 Olympics, he won another gold medal for the 10,000m, and a fourth gold medal for the 5,000m."
Sports,How old was Emma Raducanu when she won the US Open in 2021?,18
Sports,Which country's rugby team is known as The Springboks?,South Africa
Sports,What are Canada's two national sports?,"Lacrosse in the summer, hockey in the winter"
Sports,Who won the 2022 F1 World Championship?,Max Verstappen
Sports,Who are the current Netball World Cup Champions?,New Zealand
Sports,What sport is played at The Oval?,Cricket
Sports,Who did the Lionesses defeat to become Euros champions in 2022?,Germany
Sports,Which Lioness team member won I'm a Celeb in 2022?,Jill Scott
Sports,What does WWE stand for?,World Wrestling Entertainment
Sports,Who is the current manager of the England Women’s national football team?,Sarina Wiegman
Sports,What is Usain Bolt’s 100m world record time?,9.58 seconds
Sports,"In American Football, how many points do you score for a touchdown?",Six
Sports,Name all the positions in Netball,"Goal Keeper, Goal Defence, Goal Attack, Goal Shooter, Wing Defence, Wing Attack, Centre"
Sports,What color medal did diver Tom Daley win at London 2012?,Bronze
Sports,Who is the current captain of the England Women's Football team?,Leah Williamson
Sports,Which cricket club plays at The Oval?,Surrey County Cricket Club
Sports,Jessica Ennis-Hill competed for Great Britain in which sport?,Heptathlon
Tech,What product did Amazon originally sell?,Books
Tech,What does LG stand for in LG Electronics?,Lucky-Goldstar
Tech,Threads was launched to rival what social media platform?,Twitter
Tech,What is Twitter now called?,X
Tech,Which decade was the Sony Walkman launched?,1970s
Tech,What year did the first Apple iPhone launch?,2007
Tech,Which prestigious university did Microsoft founder Bill Gates drop out of?,Harvard
Tech,Which British computer scientist invented the World Wide Web in 1989?,Tim Berners-Lee
Tech,What is the name of Elon Musk's aerospace company?,SpaceX
Tech,Which company developed the first mobile phone?,Motorola
Tech,Why was Google Images invented?,Due to a demand for pictures of the green Versace dress of Jennifer Lopez wore to the Grammy Awards in February 2000
Tech,How long does an Instagram Story remain live for?,24 hours
Tech,How many 'Top friends' were you allowed on Bebo?,16
Tech,What film did Justin Timberlake star in about the invention of Facebook?,The Social Network
Tech,Which tech brand sponsored Manchester United on the front of their 2023/2024 season shirts?,TeamViewer
Tech,What's the maximum length of a meeting you're allowed on the Basic Zoom membership?,40 minutes
Tech,What US state is Silicon Valley in?,California
Tech,What does JPEG stand for?,Joint Photographic Experts Group
Tech,"As of spring 2024, which of these has not been an Apple operating system? Cougar, Lion, Cheetah, Puma",Cougar
Tech,When was BeReal founded?,2019
